variable,missing_pct,observaciones_validas,observaciones_totales,anios_con_datos,primer_anio_con_datos,ultimo_anio_con_datos,paises_con_datos,hay_huecos_temporales,patron_trienal_detectado,patron_quinquenal_o_similar,senal_interpolacion_lineal,paises_con_interpolacion_aparente,senal_forward_fill,gap_anio_2001_wgi,advertencia_principal
forest_area_km2,0.0,480,480,24,2000,2023,20,no,no,sí,SÍ ⚠,"⚠ WB aplica interpolación FAO quinquenal. Países con diferencias constantes: ['AR', 'BO', 'BR', 'CL', 'CO']",no,no,FAO quinquenal interpolado por WB a anual. Patrón de interpolación lineal visible en serie. Ver auditoria_integridad.
forest_area_pct_land,0.0,480,480,24,2000,2023,20,no,no,sí,SÍ ⚠,"⚠ WB aplica interpolación FAO quinquenal. Países con diferencias constantes: ['AR', 'BO', 'BR', 'CL', 'CO']",no,no,Misma fuente FAO que forest_area_km2. Redundante conceptualmente; difieren en unidad. REDUNDANCIA con forest_area_km2.
ghg_total_incl_lulucf_mt_co2e,0.0,480,480,24,2000,2023,20,no,no,no,no,,no,no,"Incluye LULUCF: valores negativos son técnicamente válidos (sumidero forestal). Panamá y Venezuela presentan valores negativos persistentes — fenómeno esperado, no error. Fuente subyacente: EDGAR_2025"
co2_excl_lulucf_mt_co2e,0.0,480,480,24,2000,2023,20,no,no,no,no,,no,no,"Nota: la unidad es Mt CO2e (equivalente), no kt puro. Misma familia EDGAR que ghg_total. REDUNDANCIA PARCIAL con ghg_total: CO2 es un subconjunto del total GEI."
gdp_per_capita_const2015_usd,0.0,480,480,24,2000,2023,20,no,no,no,no,,no,no,Año base 2015 (confirmado API). Cuba: datos ausentes o muy limitados.
gdp_per_capita_ppp_const2021_intl,10.0,432,480,24,2000,2023,18,no,no,no,no,,no,no,⚠ INCONSISTENCIA DETECTADA: la columna anterior se llamaba 'pib_per_capita_ppa' con nota '2017' pero la API devuelve base 2021 (confirmado). Nombre propuesto: gdp_per_capita_ppp_const2021_intl. REDUND
population_total,0.0,480,480,24,2000,2023,20,no,no,no,no,,no,no,Cuba: datos limitados post-2019.
internet_users_pct_pop,0.42,478,480,24,2000,2023,20,no,no,no,SÍ ⚠,"Posible interpolación detectada en: ['GT', 'HT']",no,no,Proxy de adopción tecnológica; no mide innovación ni tecnología verde.
mobile_subscriptions_per100,0.42,478,480,24,2000,2023,20,no,no,no,no,,no,no,REDUNDANCIA con internet_users_pct_pop: ambas son proxies de adopción tecnológica general. Puede superar 100 (múltiples SIMs). Alta correlación esperada.
agriculture_va_pct_gdp,2.5,468,480,24,2000,2023,20,no,no,no,no,,no,no,Incluye silvicultura y pesca — más amplio que 'agrícola' puro.
manufacturing_va_pct_gdp,2.5,468,480,24,2000,2023,20,no,no,no,no,,no,no,No incluye construcción ni minería. Subconjunto del sector industrial.
services_va_pct_gdp,2.5,468,480,24,2000,2023,20,no,no,no,no,,no,no,Alta multicolinealidad potencial con los otros dos VAB (restringen como fracción del PIB).
child_employment_pct_7to14,82.71,83,480,17,2000,2016,19,sí,no,no,no,,no,no,"⚠ CONCEPTO NO EQUIVALENTE: 'Children in employment' mide trabajo infantil, NO directamente 'protección de derechos laborales'. Es un proxy inverso. Cobertura muy baja (13.8%). La consigna pide un índi"
renewable_energy_pct_final_energy,8.33,440,480,22,2000,2021,20,sí,no,no,no,,no,no,"Mide consumo, no inversión en tecnología verde. Proxy razonable y ampliamente usado en literatura EKC."
renewable_electricity_output_pct,11.88,423,480,22,2000,2021,20,sí,no,no,no,,no,no,"⚠ NOMBRE INCONSISTENTE CRÍTICO: la columna anterior se llamaba 'capacidad_renovable_gw' pero la API devuelve PORCENTAJE (%), no gigavatios (GW). Nombre correcto: renewable_electricity_output_pct. Dato"
rd_expenditure_pct_gdp,34.38,315,480,24,2000,2023,18,no,no,no,no,,no,no,"I+D total, no discrimina innovación verde. Cobertura 43.5%. Proxy imperfecto para 'innovación tecnológica verde'."
account_ownership_pct_adults,84.58,74,480,5,2011,2022,19,sí,sí,no,no,,no,no,"⚠ FRECUENCIA TRIENAL: encuesta disponible solo en 2011, 2014, 2017, 2021, 2024. Cobertura 15.4% en panel anual. Los valores NO están interpolados en este RAW. Los años sin encuesta quedan como NaN. Pa"
domestic_credit_private_pct_gdp,13.33,416,480,24,2000,2023,19,no,no,no,no,,no,no,"Mide profundidad financiera, no acceso individual. Complementa account_ownership. Serie anual continua."
wgi_voice_accountability_est,4.17,460,480,23,2000,2023,20,sí,no,no,no,,no,sí (WGI no publicó 2001),Gap: año 2001 sin datos (WGI no publicó ese año). Cobertura 95.8%. Datos disponibles 1996-2024.
wgi_government_effectiveness_est,4.17,460,480,23,2000,2023,20,sí,no,no,no,,no,sí (WGI no publicó 2001),Gap año 2001. REDUNDANCIA INSTITUCIONAL con otros 5 WGI: todos vienen de la misma encuesta.
wgi_rule_of_law_est,4.17,460,480,23,2000,2023,20,sí,no,no,no,,no,sí (WGI no publicó 2001),Gap año 2001. BLOQUE WGI: 6 dimensiones del mismo índice — alta multicolinealidad intragrupo.
wgi_control_corruption_est,4.17,460,480,23,2000,2023,20,sí,no,no,no,,no,sí (WGI no publicó 2001),Gap año 2001. BLOQUE WGI.
wgi_regulatory_quality_est,4.17,460,480,23,2000,2023,20,sí,no,no,no,,no,sí (WGI no publicó 2001),"⚠ CONCEPTO APROXIMADO: 'Regulatory Quality' mide marco regulatorio GENERAL, no la rigurosidad específica de política ambiental. La consigna pide un índice de política ambiental. Fuente directa: OECD E"
wgi_political_stability_est,4.17,460,480,23,2000,2023,20,sí,no,no,no,,no,sí (WGI no publicó 2001),Gap año 2001. BLOQUE WGI.
tax_revenue_pct_gdp,32.92,322,480,24,2000,2023,17,no,no,no,no,,no,no,⚠ CONCEPTO NO EQUIVALENTE: 'Tax revenue' es recaudación fiscal TOTAL. La consigna pide impuestos ambientales específicos. Fuente directa: OECD Database on Instruments used for Environmental Policy — c
natural_resources_rents_pct_gdp,10.0,432,480,22,2000,2021,20,sí,no,no,no,,no,no,Cobertura 67.1%. Cuba y Venezuela con gaps.
vulnerable_employment_pct_total,0.0,480,480,24,2000,2023,20,no,no,no,no,,no,no,"⚠ NOMBRE INCONSISTENTE: la columna previa se llamaba 'empleo_informal_pct' pero la API entrega 'Vulnerable employment' (empleo vulnerable), que incluye trabajadores por cuenta propia y trabajadores fa"
stock_market_cap_pct_gdp,61.88,183,480,24,2000,2023,10,no,no,no,no,,no,no,⚠ CONCEPTO APROXIMADO: capitalización bursátil ≠ innovación financiera. Cobertura 27.3%. Muchos países AL sin bolsa desarrollada.
