variable_consigna,existe_directa_en_fuente_publica,existe_en_panel_raw,columna_asociada,codigo_api,nivel_trazabilidad,cobertura_pct_primera_columna,observaciones,motivo_si_falta
Superficie forestal,sí,sí,forest_area_km2 + forest_area_pct_land,AG.LND.FRST.K2 / AG.LND.FRST.ZS,alto,100.0,Disponible. Dos columnas RAW: km² y %. Nota: WB interpola datos FAO quinquenales.,
Factor de capacidad de carga,no,no,NO INCLUIDA EN PANEL RAW,sin código directo,bajo,0.0,"NO existe indicador de 'carrying capacity' para 20 países AL 2000-2023 en fuente API pública. Candidatos: Global Footprint Network (acceso restringido), UNDP Human Development Report. Requiere descarga manual o suscripción. AUSENTE del panel RAW.","NO existe indicador de 'carrying capacity' para 20 países AL 2000-2023 en fuente API pública. Candidatos: Global Footprint Network (acceso restringido), UNDP Human Development Report. Requiere descarga manual o suscripción. AUSENTE del panel RAW."
Gases de efecto invernadero,sí,sí,ghg_total_incl_lulucf_mt_co2e,EN.GHG.ALL.LU.MT.CE.AR5,alto,100.0,Disponible directamente. 100% cobertura. Valores negativos válidos (sumidero forestal). Fuente: EDGAR 2025.,
Emisiones de CO2,sí,sí,co2_excl_lulucf_mt_co2e,EN.GHG.CO2.MT.CE.AR5,alto,100.0,"Disponible directamente. 100% cobertura. Nota: unidad es Mt CO2e (equivalente), no CO2 puro.",
Crecimiento económico (PIB per capita),sí,sí,gdp_per_capita_const2015_usd + gdp_per_capita_ppp_const2021_intl,NY.GDP.PCAP.KD / NY.GDP.PCAP.PP.KD,alto,100.0,"Disponible. REDUNDANCIA entre las dos versiones. Para modelo parsimoniosos elegir una. Advertencia: año base PPA era 2017 en v1, la API ahora devuelve 2021.",
Población,sí,sí,population_total,SP.POP.TOTL,alto,100.0,Disponible directamente.,
Tecnología,parcial,sí,internet_users_pct_pop + mobile_subscriptions_per100,IT.NET.USER.ZS / IT.CEL.SETS.P2,medio,99.6,No existe indicador directo de 'tecnología' para este panel. Se incluyen dos proxies de adopción digital. Nota: estos no miden tecnología ambiental ni innovadora.,Ver notas
VAB sectorial (agrícola),sí,sí,agriculture_va_pct_gdp,NV.AGR.TOTL.ZS,alto,97.5,Disponible. Incluye silvicultura y pesca según WB.,
VAB sectorial (manufacturero),sí,sí,manufacturing_va_pct_gdp,NV.IND.MANF.ZS,alto,97.5,Disponible directamente.,
VAB sectorial (servicios),sí,sí,services_va_pct_gdp,NV.SRV.TOTL.ZS,alto,97.5,Disponible directamente.,
Protección de los derechos laborales,no,no,"child_employment_pct_7to14 (PROXY INVERSO, 13.8% cobertura)",SL.TLF.0714.ZS,bajo,,"NO existe índice de derechos laborales de cobertura continua para 20 países 2000-2023 en API pública. La variable incluida es trabajo infantil (proxy inverso). Fuente directa recomendada: ITUC Global Rights Index (anual, descarga manual).","NO existe índice de derechos laborales de cobertura continua para 20 países 2000-2023 en API pública. La variable incluida es trabajo infantil (proxy inverso). Fuente directa recomendada: ITUC Global Rights Index (anual, descarga manual)."
Tecnología verde,parcial,sí,renewable_energy_pct_final_energy,EG.FEC.RNEW.ZS,medio,91.7,No existe indicador denominado 'tecnología verde' en APIs públicas. Se usa consumo de energía renovable como proxy estándar en literatura EKC. Patentes ambientales (OECD) no disponibles vía API para todos los países.,Ver notas
Gobernanza,sí,sí,wgi_government_effectiveness_est + wgi_control_corruption_est + wgi_regulatory_quality_est + wgi_political_stability_est,GOV_WGI_GE.EST / GOV_WGI_CC.EST / GOV_WGI_RQ.EST / GOV_WGI_PV.EST,alto,95.8,Disponible WGI. Gap año 2001. REDUNDANCIA: 6 dimensiones del mismo índice compuesto.,
Impuestos ambientales,no,no,tax_revenue_pct_gdp (PROXY FISCAL GENERAL),GC.TAX.TOTL.GD.ZS,bajo,,No existe serie de impuestos ambientales específicos para 20 países AL en API pública. La variable es recaudación fiscal total (proxy). Fuente directa: OECD Tax Policy Analysis — cobertura parcial AL.,No existe serie de impuestos ambientales específicos para 20 países AL en API pública. La variable es recaudación fiscal total (proxy). Fuente directa: OECD Tax Policy Analysis — cobertura parcial AL.
Rigurosidad de la política ambiental,no,no,wgi_regulatory_quality_est (PROXY REGULATORIO GENERAL),GOV_WGI_RQ.EST,bajo,,No existe índice de rigurosidad ambiental para todos los países en API pública. OECD Environmental Policy Stringency Index (EPS) cubre solo países OECD. Yale EPI (Environmental Performance Index) disponible como descarga manual bienal.,No existe índice de rigurosidad ambiental para todos los países en API pública. OECD Environmental Policy Stringency Index (EPS) cubre solo países OECD. Yale EPI (Environmental Performance Index) disponible como descarga manual bienal.
Incertidumbre de la política climática,no,no,NO INCLUIDA,sin código,bajo,0.0,No existe indicador estandarizado de incertidumbre climática en API pública para AL 2000-2023. Alternativas académicas: Baker-Bloom-Davis EPU Index (Economic Policy Uncertainty) — disponible solo para países mayores.,No existe indicador estandarizado de incertidumbre climática en API pública para AL 2000-2023. Alternativas académicas: Baker-Bloom-Davis EPU Index (Economic Policy Uncertainty) — disponible solo para países mayores.
Rendición de cuentas,sí,sí,wgi_voice_accountability_est,GOV_WGI_VA.EST,alto,95.8,"Disponible WGI. Gap año 2001. Mide participación ciudadana, libertad de expresión y medios libres.",
Incertidumbre relacionada con la energía,no,no,NO INCLUIDA,sin código,bajo,0.0,"No existe indicador estandarizado de incertidumbre energética en API pública para AL. Sin datos directos en WB, IEA o CEPAL para este concepto.","No existe indicador estandarizado de incertidumbre energética en API pública para AL. Sin datos directos en WB, IEA o CEPAL para este concepto."
Inclusión financiera,parcial,sí,account_ownership_pct_adults + domestic_credit_private_pct_gdp,FX.OWN.TOTL.ZS / FS.AST.PRVT.GD.ZS,medio,15.4,Findex disponible pero trienal (15.4% cobertura anual). Crédito privado disponible con mejor cobertura (86.7%). En RAW los años sin Findex quedan como NaN (sin interpolación).,Ver notas
Innovación tecnológica verde,no,sí,renewable_electricity_output_pct + rd_expenditure_pct_gdp (PROXIES),EG.ELC.RNEW.ZS / GB.XPD.RSDV.GD.ZS,bajo,88.1,No existe indicador de 'innovación tecnológica verde' para todos los países AL en API pública. Patentes ambientales (OECD Patents on Environment Technologies) solo disponibles para países OECD/grandes. Los dos proxies incluidos miden output eléctrico renovable e I+D total.,No existe indicador de 'innovación tecnológica verde' para todos los países AL en API pública. Patentes ambientales (OECD Patents on Environment Technologies) solo disponibles para países OECD/grandes. Los dos proxies incluidos miden output eléctrico renovable e I+D total.
Calidad institucional,sí,sí,wgi_rule_of_law_est + wgi_control_corruption_est + wgi_government_effectiveness_est,GOV_WGI_RL.EST / GOV_WGI_CC.EST / GOV_WGI_GE.EST,alto,95.8,WGI disponible. Conceptualmente solapado con 'gobernanza'. Redundancia intragrupo.,
Índice de riesgo climático,no,no,NO INCLUIDA,sin código,bajo,0.0,"No existe serie de riesgo climático en API pública para 20 países AL 2000-2023. Candidatos: Germanwatch Global Climate Risk Index (bienal, descarga manual), ND-GAIN Country Index (anual, descarga manual desde gain.nd.edu). AUSENTE del panel RAW.","No existe serie de riesgo climático en API pública para 20 países AL 2000-2023. Candidatos: Germanwatch Global Climate Risk Index (bienal, descarga manual), ND-GAIN Country Index (anual, descarga manual desde gain.nd.edu). AUSENTE del panel RAW."
Innovación financiera,parcial,no,stock_market_cap_pct_gdp (PROXY BURSÁTIL),CM.MKT.LCAP.GD.ZS,bajo,,"No existe indicador de 'innovación financiera' en API pública. Capitalización bursátil es proxy de desarrollo financiero, no de innovación. Cobertura 38.1%.",Ver notas
Informalidad,parcial,no,vulnerable_employment_pct_total (PROXY — ver alerta de concepto),SL.EMP.VULN.ZS,medio,,Empleo vulnerable ≠ informalidad estricta. Proxy correlacionado pero conceptualmente diferente. ILO ILOSTAT tiene datos de informalidad directos — cobertura parcial y no continua vía API.,Ver notas
Renta de los recursos naturales,sí,sí,natural_resources_rents_pct_gdp,NY.GDP.TOTL.RT.ZS,alto,90.0,Disponible directamente. Cobertura 90%.,
